GNP Data — Full Summary,n=285 total runs · 26 unique feedback IDs · 3 models · prompt_id 4 · temp 0.2 · rep_penalty 1.05,,,
,,,,
SECTION 1 — OVERALL BASELINE,,,,
Metric,Raw,%,,
Total runs,285,100%,,
Successes,171,60.00%,,
Failures,114,40.00%,,
Runs with any error,114,40.00%,,
Runs with any caution,61,21.40%,,
Avg latency (all),14.82s,—,,
Median latency (all),12.59s,—,,
,,,,
SECTION 2 — PER-MODEL SUMMARY,,,,
Metric,Llama 3.1 (8B) n=110,Mistral 7B n=88,Phi-3.5 (Mini) n=87,
Success,64 → 58.2%,58 → 65.9%,49 → 56.3%,
Failure,46 → 41.8%,30 → 34.1%,38 → 43.7%,
Has error,46 → 41.8%,30 → 34.1%,38 → 43.7%,
Has caution,4 → 3.6%,22 → 25.0%,35 → 40.2%,
,,,,
SECTION 3 — SUCCESS QUALITY BREAKDOWN (clean vs. flagged),,,,
Outcome,Llama 3.1 (8B),Mistral 7B,Phi-3.5 (Mini),
"Clean success (no error, no caution)",62/110 → 56.4%,41/88 → 46.6%,18/87 → 20.7%,
Success with caution,2/110 → 1.8%,17/88 → 19.3%,31/87 → 35.6%,
Failure with error logged,46/110 → 41.8%,30/88 → 34.1%,38/87 → 43.7%,
,,,,
SECTION 4 — ERROR TYPE BREAKDOWN (% of each model's total runs),,,,
Error Type,Llama 3.1 (8B),Mistral 7B,Phi-3.5 (Mini),
Over-split,27 → 24.5%,14 → 15.9%,12 → 13.8%,
Lack of context,16 → 14.5%,9 → 10.2%,6 → 6.9%,
Misleading context,9 → 8.2%,3 → 3.4%,5 → 5.7%,
Excessive tone change,0 → 0.0%,3 → 3.4%,20 → 23.0%,
Vague pronoun,5 → 4.5%,4 → 4.5%,0 → 0.0%,
Not atomic,0 → 0.0%,4 → 4.5%,0 → 0.0%,
,,,,
SECTION 5 — ERROR TYPE COMBINED (all 114 failures),,,,
Error Type,Count (mentions),% of 114 failures,% of all 285 rows,
Over-split,53,46.50%,18.60%,
Lack of context,31,27.20%,10.90%,
Excessive tone change,23,20.20%,8.10%,
Misleading context,17,14.90%,6.00%,
Vague pronoun,9,7.90%,3.20%,
Not atomic,4,3.50%,1.40%,
,,,,
SECTION 6 — CAUTION BREAKDOWN (% of each model's total runs),,,,
Caution Type,Llama 3.1 (8B),Mistral 7B,Phi-3.5 (Mini),
Language level change,0 → 0.0%,19 → 21.6%,33 → 37.9%,
Tone change,4 → 3.6%,3 → 3.4%,3 → 3.4%,
,,,,
SECTION 7 — LATENCY DEEP DIVE (seconds),,,,
Percentile,Llama 3.1 (8B),Mistral 7B,Phi-3.5 (Mini),
p10,5.25s,8.65s,6.27s,
p25,6.03s,11.86s,7.19s,
p50 (median),10.99s,18.31s,10.76s,
p75,16.76s,32.25s,15.94s,
p90,21.10s,34.33s,24.08s,
p95,21.42s,40.61s,24.08s,
Max,21.42s,40.61s,26.10s,
,,,,
SECTION 8 — LATENCY BY OUTCOME,,,,
Outcome,Llama 3.1 (8B),Mistral 7B,Phi-3.5 (Mini),
Success avg,10.65s (n=64),20.09s (n=58),12.07s (n=49),
Failure avg,13.11s (n=46),22.08s (n=30),13.70s (n=38),
Δ (failure slower by),+2.46s,+1.98s,+1.63s,
,,,,
SECTION 9 — DECOMPOSITION VOLUME (points generated per feedback),,,,
Metric,Llama 3.1 (8B),Mistral 7B,Phi-3.5 (Mini),
Avg points per feedback,4.23,3.38,3.35,
Median,3.5,3,3,
Min,2,1,2,
Max,11,8,7,
Std deviation,2.21,1.7,1.2,
,,,,
SECTION 10 — SUCCESS RATE BY POINT POSITION,,,,
Point position,Total,Successes,Failures,Success rate
Point 1,78,61,17,78.20%
Point 2,77,46,31,59.70%
Point 3,56,30,26,53.60%
Point 4,34,15,19,44.10%
Point 5,18,11,7,61.10%
Point 6,9,3,6,33.30%
Point 7,6,2,4,33.30%
Point 8,3,2,1,66.70%
Point 9,2,1,1,50.00%
Point 10,1,0,1,0.00%
Point 11,1,0,1,0.00%
,,,,
SECTION 11 — OVER-SPLIT BY POINT POSITION,,,,
Point position,Over-split count,,,
Point 1,4,,,
Point 2,11,,,
Point 3,11,,,
Point 4,10,,,
Point 5,4,,,
Point 6,6,,,
Point 7,4,,,
Point 9,1,,,
Point 10,1,,,
Point 11,1,,,
Total,53,,,
,,,,
SECTION 12 — FINAL SCORECARD,,,,
Dimension,Winner,Detail,,
Highest headline success rate,Mistral 7B,65.9% — 58/88,,
"Cleanest successes (no error, no caution)",Llama 3.1 (8B),56.4% truly clean — 62/110,,
Fastest median latency,Phi-3.5 (Mini),10.76s,,
Fewest errors,Mistral 7B,30/88 — 34.1%,,
Fewest cautions,Llama 3.1 (8B),4/110 — 3.6%,,
Worst tone/language drift,Phi-3.5 (Mini),37.9% language level change,,
Worst structural splitting,Llama 3.1 (8B),24.5% over-split,,
Best speed/accuracy balance,Phi-3.5 (Mini),Fastest (10.76s median) with mid accuracy,,
Best production accuracy,Mistral 7B,65.9% headline but 25% have cautions,,
,,,,
SECTION 13 — RECOMMENDATIONS,,,,
Priority,Recommendation,Rationale,,
1,Cap output to 3–4 points max,Over-split is #1 error (46.5% of all failures). Limiting points removes the top failure mode across all models.,,
2,Use Mistral 7B for highest accuracy,9.6 pp better than Phi-3.5 (65.9% vs 56.3%). Accept ~2× latency if quality matters most.,,
3,Add explicit tone/register lock in prompt,18.2% of all rows flagged for language level change. Phi-3.5 especially formalises casual student language.,,
4,Reinforce context bundling in prompt,"27.2% of failures are ""lack of context"". Models strip subject/course name when splitting.",,
5,"Treat Phi-3.5 ""successes"" cautiously",Only 20.7% of Phi-3.5 outputs are truly clean. 35.6% pass but carry caution flags — more human review needed.,,
