ID,prompt_id,feedback_id,original_text,point_id,decomposed_point,temperature,repetition_penalty,latency_sec,AI_model,success,err_type,,,,prompt_id,Content
1,1,4,I would say I learn a lot and I learn kinda fast compared to before that I learn by my self but cs102 a bit unpredictable like I not sure what it gonna be on exam like If you just do diy you can’t do quiz hard questions for sure like there is noway the guy that can do it is guy that 100+ leetcode and can do hard leetcode questions but main point is it is hard not becuase it really hard but it because it not gradually increases harder and I would say I got better than other because I got good mentor like P.philix is good at teaching compare to other room but that also make it not stable but I not sure how to make it better I feel like Ai can already teach you all If you don’t know and a lot of tool but I feel like it can be better than this like cal1 and intergral 1 I feel like I listen then practice then I can actually do it but programming it just a but confuse especially it start with java .it kinda complicated to start (If you really don’t know anything ) compare to python but yeah I kinda get professors that java is get more salary than python.,1,"I learn a lot and learn kinda fast compared to before when I learn by myself, but cs102 is a bit unpredictable.",0,1,12.00275779,Llama 3.1 (8B),FALSE,,,,,1,"prompt = f""""""
You analyze student feedback and split it into separate points.

STRICT RULES:
- Always return valid JSON only.
- Preserve the student's original wording and tone.
- Never use phrases like ""the student"" or ""the user"".
- Keep feedback written in first person (""I"", ""my"", ""me"").
- Do NOT summarize or paraphrase unnecessarily.

Task: Split the following student feedback into 2–5 standalone points.

Principle:
Each point should represent ONE issue.

Rules:
1. Keep wording as close as possible to the original feedback.
2. Preserve the student's casual tone and emotion.
3. Only modify text to clarify vague pronouns.
4. Replace pronouns like ""she"", ""he"", ""it"", ""this"", ""that"" with the correct noun if necessary.
5. Do NOT rewrite sentence structure or formalize language.
6. Do NOT drop important entities (course names, tools, platforms, people).
7. Do NOT split supporting sentences (reasons, examples, conclusions).
8. If a sentence describes a situation and another sentence expresses an opinion about it,
   keep them in the SAME point.
9. Each point must represent a full issue, not fragments.

Output format:
[""point one"", ""point two"", ""point three""]

Feedback:
{text}

Return ONLY the JSON array of strings
."""""""
2,1,4,I would say I learn a lot and I learn kinda fast compared to before that I learn by my self but cs102 a bit unpredictable like I not sure what it gonna be on exam like If you just do diy you can’t do quiz hard questions for sure like there is noway the guy that can do it is guy that 100+ leetcode and can do hard leetcode questions but main point is it is hard not becuase it really hard but it because it not gradually increases harder and I would say I got better than other because I got good mentor like P.philix is good at teaching compare to other room but that also make it not stable but I not sure how to make it better I feel like Ai can already teach you all If you don’t know and a lot of tool but I feel like it can be better than this like cal1 and intergral 1 I feel like I listen then practice then I can actually do it but programming it just a but confuse especially it start with java .it kinda complicated to start (If you really don’t know anything ) compare to python but yeah I kinda get professors that java is get more salary than python.,2,"The difficulty of the course is not because it's really hard, but because it doesn't gradually increase in difficulty.",0,1,12.00275779,Llama 3.1 (8B),FALSE,vague pronoun,,,,2,"prompt = f""""""
You are an expert at splitting feedback into distinct topics.
Always respond with valid JSON only, no markdown formatting, no explanation.
Keep feedback written in FIRST PERSON (""I"", ""my"", ""me"").

Task: Split the following student feedback into separate standalone points.

CRITICAL RULES:
1. PRESERVE ORIGINAL WORDING: Keep the person's exact words as much as possible. Do NOT paraphrase or summarize or change the tone or level.
2. GROUP LOGICALLY: If sentences discuss the same issue (problem + reason + example), keep them as ONE point.
3. AVOID OVER-SPLITTING: Only split when ideas are genuinely about completely different subjects.
4. MAKE EACH POINT STANDALONE: Include all context, reasoning, qualifiers, and conclusions the student attached to it.
5. NO PRONOUNS: Replace vague references with specific nouns (e.g., ""CSC102"", ""the course"", ""Line"").
6. PRESERVE ORIGINAL TONE: Keep the original language and first-person perspective.
7. KEEP EXAMPLES AS EXAMPLES: Treat examples as supporting details, not separate points.
8. DO NOT SPLIT SUPPORTING STATEMENTS.

BAD EXAMPLE (over-split, reasoning dropped): [""CSC102 is important."", ""I don't know Docker.""]
GOOD EXAMPLE: [""Fundamental courses like CSC102 are mandatory and important to dive into the field, meaning no change is needed."", ""When it comes to infrastructure, I don't know much about tools like Docker and Kubernetes (just examples). At the end of the day, I should learn these on my own as part of the process.""]

Feedback to analyze: {text}
Return ONLY a valid JSON array of strings. No markdown, no explanation.
"""""""
3,1,4,I would say I learn a lot and I learn kinda fast compared to before that I learn by my self but cs102 a bit unpredictable like I not sure what it gonna be on exam like If you just do diy you can’t do quiz hard questions for sure like there is noway the guy that can do it is guy that 100+ leetcode and can do hard leetcode questions but main point is it is hard not becuase it really hard but it because it not gradually increases harder and I would say I got better than other because I got good mentor like P.philix is good at teaching compare to other room but that also make it not stable but I not sure how to make it better I feel like Ai can already teach you all If you don’t know and a lot of tool but I feel like it can be better than this like cal1 and intergral 1 I feel like I listen then practice then I can actually do it but programming it just a but confuse especially it start with java .it kinda complicated to start (If you really don’t know anything ) compare to python but yeah I kinda get professors that java is get more salary than python.,3,"I feel like AI can already teach you everything if you don't know, and there are a lot of tools available.",0,1,12.00275779,Llama 3.1 (8B),TRUE,,,,,3,"prompt = f""""""
You analyze student feedback and split it into topics while preserving the student's original wording and emotion.

Task: Split the following student feedback into 3–5 topics.

Rules:
1. Keep the wording as close as possible to the original feedback.
2. Preserve the student's casual tone and emotion.
3. Only modify the text when necessary to replace vague pronouns with clear nouns.
4. Replace pronouns like ""she"", ""he"", ""it"", ""this"", ""that"" with the correct noun mentioned earlier.
5. Do NOT rewrite the sentence structure or formalize the language.
6. Do not add explanations that were not in the original feedback.

Example:
Original: ""she gives assignments but it's not clear""
Better: ""AJ.Jessy gives assignments but the instructions are not clear""

Output format:
[
  ""decomposed feedback point"",
  ""another decomposed feedback point"",
  ""another decomposed feedback point""
]

Generate the JSON array once and STOP after the closing ].

User feedback:
{raw_text}

Return ONLY the JSON array.
"""""""
4,1,4,I would say I learn a lot and I learn kinda fast compared to before that I learn by my self but cs102 a bit unpredictable like I not sure what it gonna be on exam like If you just do diy you can’t do quiz hard questions for sure like there is noway the guy that can do it is guy that 100+ leetcode and can do hard leetcode questions but main point is it is hard not becuase it really hard but it because it not gradually increases harder and I would say I got better than other because I got good mentor like P.philix is good at teaching compare to other room but that also make it not stable but I not sure how to make it better I feel like Ai can already teach you all If you don’t know and a lot of tool but I feel like it can be better than this like cal1 and intergral 1 I feel like I listen then practice then I can actually do it but programming it just a but confuse especially it start with java .it kinda complicated to start (If you really don’t know anything ) compare to python but yeah I kinda get professors that java is get more salary than python.,4,"I think the course would be better if it followed a more structured approach like listen-then-practice, rather than just DIY.",0,1,12.00275779,Llama 3.1 (8B),FALSE,,,,,4,"prompt = f""""""
You analyze user feedback and split it into several clear points while preserving the user's original wording and emotion.

Task: Split the following user feedback into 3–5 points.

Rules:
1. Extract ALL distinct ideas mentioned in the feedback. Do NOT remove ideas.
2. Keep the wording as close as possible to the original feedback.
3. Prefer copying phrases directly from the original text instead of rewriting them.
4. Preserve the user's casual tone and wording.
5. Do NOT summarize, shorten, or formalize the feedback.
6. Do NOT improve grammar.
7. Only modify text when necessary to replace vague pronouns with clear nouns.
8. Replace pronouns like ""she"", ""he"", ""it"", ""this"", ""that"" with the correct noun mentioned earlier.
9. GROUP RELATED IDEAS: if multiple sentences describe the same issue, keep them in the SAME point.
10. Only create a new point when the idea is clearly different.
11. Every major idea in the feedback must appear in the output.
12. If a sentence depends on context, include the subject (for example the course name like CSC102)

Example:
Original feedback:
""LNG class, AJ.Jarah making Line as a learning platform, I want it to be on Microsoft team as it's more professional. Also when she give us assignment it's not very clear as she always use line and has no recording""

Output:
[
  ""AJ.Jarah is using LINE as the learning platform in LNG class, but I want the platform to be Microsoft Teams because Microsoft Teams feels more professional."",
  ""When AJ.Jarah gives assignments it is not very clear because AJ.Jarah always uses LINE and there is no recording.""
]

Output format:
[
  ""decomposed feedback point"",
  ""another decomposed feedback point"",
  ""another decomposed feedback point""
]

Generate the JSON array once and STOP after the closing ].

User feedback:
{raw_text}

Return ONLY the JSON array.
"""""""
5,1,4,I would say I learn a lot and I learn kinda fast compared to before that I learn by my self but cs102 a bit unpredictable like I not sure what it gonna be on exam like If you just do diy you can’t do quiz hard questions for sure like there is noway the guy that can do it is guy that 100+ leetcode and can do hard leetcode questions but main point is it is hard not becuase it really hard but it because it not gradually increases harder and I would say I got better than other because I got good mentor like P.philix is good at teaching compare to other room but that also make it not stable but I not sure how to make it better I feel like Ai can already teach you all If you don’t know and a lot of tool but I feel like it can be better than this like cal1 and intergral 1 I feel like I listen then practice then I can actually do it but programming it just a but confuse especially it start with java .it kinda complicated to start (If you really don’t know anything ) compare to python but yeah I kinda get professors that java is get more salary than python.,5,"I find programming in Java to be more complicated to start with compared to Python, especially for beginners.",0,1,12.00275779,Llama 3.1 (8B),TRUE,,,,,,
6,1,11,"Surely the job landscape has changed and been changing rapidly as AI growth and market is saturated right now. I don't know how curriculum needs to be changed but definitely, we need to do something about it and it's the truth. Let's talk about fundamental courses first, definitely courses like CSC102, 122 are mandatory for CS student to dive into the field so, all these fundamental courses are important meaning no change needed. But when it comes to infrastructure sides, we don't know much about it. Something like Dockers and Kubernetes. These are just an example. But at the end of the day, we should learn on our own since we are CS students and part of the process. I don't have the ultimate solution for this, but something needs to be done.",1,"The job landscape has changed rapidly due to AI growth and market saturation, and something needs to be done about it.",0,1,8.670697689,Llama 3.1 (8B),TRUE,,,,,,
7,1,11,"Surely the job landscape has changed and been changing rapidly as AI growth and market is saturated right now. I don't know how curriculum needs to be changed but definitely, we need to do something about it and it's the truth. Let's talk about fundamental courses first, definitely courses like CSC102, 122 are mandatory for CS student to dive into the field so, all these fundamental courses are important meaning no change needed. But when it comes to infrastructure sides, we don't know much about it. Something like Dockers and Kubernetes. These are just an example. But at the end of the day, we should learn on our own since we are CS students and part of the process. I don't have the ultimate solution for this, but something needs to be done.",2,Fundamental courses like CSC102 and CSC122 are crucial for CS students and shouldn't be changed.,0,1,8.670697689,Llama 3.1 (8B),TRUE,,,,,,
8,1,11,"Surely the job landscape has changed and been changing rapidly as AI growth and market is saturated right now. I don't know how curriculum needs to be changed but definitely, we need to do something about it and it's the truth. Let's talk about fundamental courses first, definitely courses like CSC102, 122 are mandatory for CS student to dive into the field so, all these fundamental courses are important meaning no change needed. But when it comes to infrastructure sides, we don't know much about it. Something like Dockers and Kubernetes. These are just an example. But at the end of the day, we should learn on our own since we are CS students and part of the process. I don't have the ultimate solution for this, but something needs to be done.",3,The curriculum needs to be updated to include more practical knowledge of infrastructure tools like Docker and Kubernetes.,0,1,8.670697689,Llama 3.1 (8B),TRUE,,,,,,
9,1,11,"Surely the job landscape has changed and been changing rapidly as AI growth and market is saturated right now. I don't know how curriculum needs to be changed but definitely, we need to do something about it and it's the truth. Let's talk about fundamental courses first, definitely courses like CSC102, 122 are mandatory for CS student to dive into the field so, all these fundamental courses are important meaning no change needed. But when it comes to infrastructure sides, we don't know much about it. Something like Dockers and Kubernetes. These are just an example. But at the end of the day, we should learn on our own since we are CS students and part of the process. I don't have the ultimate solution for this, but something needs to be done.",4,CS students should learn to learn on their own and be part of the process of updating the curriculum.,0,1,8.670697689,Llama 3.1 (8B),FALSE,Misleading context/hallucinate,,,,,
10,1,13,"As a 4th-year student from the old curriculum, in my perspective I’m judging based on (quality / attending one class session) and only on the knowledge gained in class, not outside the classroom. My opinions are as follows:

1. Some courses do not meet the needs of real-world work because they are outdated, such as CSC325, CSC340, and CSC319. In my view, these courses should teach more than just GUI development and restructuring. I think the content is quite old. To make Java more practically useful, it should involve building a full Desktop Application or doing a Big Data project instead.

2. Courses that should be hands-on ended up being mostly theoretical. For example, CSC220 was very disappointing for me in terms of learning networking. I believe this subject has huge potential for further development, but it felt like there was a lot of talk and not much substance. We pay almost 50,000 baht to sit in an old CB building without doing any concrete lab work, unlike other faculties that pay less but have proper networking workshops. Meanwhile, we just sit there, looking at each other, after paying tens of thousands more but receiving lower quality than other departments.

CSC325 was also disappointing. I believe this course still has potential and could offer much more. There was no project at all. Most of the time was spent grinding through SeedLab, documenting it, and then taking the final exam. In the end, there was no real continuation or application. I see this course as almost useful — it was just missing a focus on quality, as it emphasized quantity of work instead.

3. There was a gap in coding practice. During Years 1–2, it was the most stressful period, but also the most beneficial for me. However, in Years 3–4, I felt like coding almost completely disappeared. It became very theory-heavy, with not much hands-on practice. I understand that this might be due to the reasons mentioned in points 1 and 2. I also feel that this may have already been improved in the new curriculum. Overall, though, I found the learning experience enjoyable during my time here.",1,"Some courses do not meet the needs of real-world work because they are outdated, such as CSC325, CSC340, and CSC319. In my view, these courses should teach more than just GUI development and restructuring. I think the content is quite old. To make Java more practically useful, it should involve building a full Desktop Application or doing a Big Data project instead.",0,1,35.72718358,Llama 3.1 (8B),TRUE,,,,,,
