feedback_id,raw_text,points_json,n_points,is_multi,gemini_points_json,gemini_n_points,has_multiple_points,fold
1,The knowledge does cover overall things but the teaching was a bit fast,"[""The knowledge does cover overall things but the teaching was a bit fast""]",1,False,"[""The course's knowledge coverage addresses overall topics, but the teaching pace was a bit fast.""]",1,No,1
2,I found that our curriculum has been made according to universal standards,"[""I found that our curriculum has been made according to universal standards""]",1,False,"[""I found that our curriculum has been made according to universal standards.""]",1,No,0
3,"I think that all of the CSC courses are useful to establish the base for those whom are unfamiliar with the java program. However, I’m unsure of the purpose for some GEN courses.","[""I think that all of the CSC courses are useful to establish the base for those whom are unfamiliar with the java program."", ""I’m unsure of the purpose for some GEN courses.""]",2,True,"[""I think that all of the CSC courses are useful to establish the base for those whom are unfamiliar with the java program."", ""I’m unsure of the purpose for some GEN courses.""]",2,No,2
4,I would say I learn a lot and I learn kinda fast compared to before that I learn by my self but cs102 a bit unpredictable like I not sure what it gonna be on exam like If you just do diy you can’t do quiz hard questions for sure like there is noway the guy that can do it is guy that 100+ leetcode and can do hard leetcode questions but main point is it is hard not becuase it really hard but it because it not gradually increases harder and I would say I got better than other because I got good mentor like P.philix is good at teaching compare to other room but that also make it not stable but I not sure how to make it better I feel like Ai can already teach you all If you don’t know and a lot of tool but I feel like it can be better than this like cal1 and intergral 1 I feel like I listen then practice then I can actually do it but programming it just a but confuse especially it start with java .it kinda complicated to start (If you really don’t know anything ) compare to python but yeah I kinda get professors that java is get more salary than python.,"[""I would say I learn a lot and I learn kinda fast compared to before that I learn by my self but cs102 a bit unpredictable like I not sure what it gonna be on exam like If you just do diy you can’t do quiz hard questions for sure like there is noway the guy that can do it is guy that 100+ leetcode and can do hard leetcode questions but main point is it is hard not becuase it really hard but it because it not gradually increases"", ""I would say I got better than other because I got good mentor like P.philix is good at teaching compare to other room but that also make it not stable but I not sure how to make it better"", ""I feel like AI can already teach you everything if you don’t know something, and there are a lot of tools available. But I still feel like it could be better. For example, in Calculus 1 and Integral 1, I feel like if I listen and then practice, I can actually do it. But programming is a bit confusing, especially when starting with Java. It’s kind of complicated if you don’t know anything, compared to Python. But yeah, I kind of understand why professors say Java can lead to higher salaries than Python.""]",3,True,"[""CS102 is a bit unpredictable, as I am not sure what will be on the exam. If I just do self-study, I cannot do the hard quiz questions; only someone with 100+ LeetCode experience can do the hard LeetCode questions. The main point is that CS102 is hard not because it's inherently difficult, but because the difficulty does not gradually increase."", ""I got better than others because I had a good mentor, P.philix, who is good at teaching compared to other rooms. However, relying on specific good mentors also makes the learning experience not stable, and I am not sure how to make it better."", ""I feel like AI tools can already teach everything if someone doesn't know, and there are a lot of tools available. However, I feel programming education can be better than its current state, similar to how I learn in Cal1 and Integral1 where I listen, then practice, and can actually do it. Programming is just a bit confusing, especially when it starts with Java, which is complicated to start with (if someone really doesn’t know anything) compared to Python. I understand professors choose Java because it leads to higher salaries than Python.""]",3,Yes,1
5,"I'm not sure since we're kind of new here, but in this second semester we feel kind of overwhelmed because we have a lot of additional class (lab) while our class (mandatory one) scehdule is already full and packed so we kind of don't have time to explore things by oruselves.","[""I'm not sure since we're kind of new here, but in this second semester we feel kind of overwhelmed because we have a lot of additional class (lab) while our class (mandatory one) scehdule is already full and packed so we kind of don't have time to explore things by oruselves.""]",1,False,"[""As students who are kind of new here, in this second semester we feel kind of overwhelmed because we have a lot of additional classes (labs) while our mandatory class schedule is already full and packed, so we kind of don't have time to explore things by ourselves.""]",1,No,3
6,"About curriculum, Its because we are learning everything but not focusing on one thing.","[""About curriculum, Its because we are learning everything but not focusing on one thing.""]",1,False,"[""Regarding the curriculum, the issue is that we are learning everything but not focusing on one specific area.""]",1,No,4
7,csc122 should be taught more than let student do,"[""csc122 should be taught more than let student do.""]",1,False,"[""csc122 should be taught more than let student do.""]",1,No,3
8,"Till now, I find the course really difficult. The increased grade range for this second semester does not help at all. We were informed that first sem there was too much people getting high grades, that's the reason why they increased it. However, this would reflect very negatively on people that had a low grade.","[""Till now, I find the course really difficult. The increased grade range for this second semester does not help at all. We were informed that the reason for increasing the grade range was that too many people were getting high grades in the first semester. However, the increased grade range would reflect very negatively on people that had a low grade.""]",1,False,"[""Till now, I find the course really difficult. The increased grade range for this second semester does not help at all. We were informed that the reason for increasing the grade range was that too many people were getting high grades in the first semester. However, the increased grade range would reflect very negatively on people that had a low grade.""]",1,No,1
9,some classes need more hands on labs like networking which SIT already have network room in lx building.,"[""Some classes need more hands-on labs, such as networking classes, especially since SIT already has a dedicated network room in the LX building.""]",1,False,"[""Some classes need more hands-on labs, such as networking classes, especially since SIT already has a dedicated network room in the LX building.""]",1,No,4
10,I would love for more practical lesson + real life stuff,"[""I would love for more practical lessons and real-life content.""]",1,False,"[""I would love for more practical lessons and real-life content.""]",1,No,0
